no,app,fc,runned
1,mm,0,0
2,mm,1,0
3,mm,2,0
4,mm,3,0
5,mm,4,0
6,mm,5,0
7,mm,6,0
8,mm,7,0
9,mm,8,0
10,mm,9,0
11,mm,10,0
12,mm,11,0
13,mm,12,0
14,ds,0,0
15,ds,1,0
16,ds,2,0
17,ds,3,0
18,ds,4,0
19,ds,5,0
20,ds,6,0
21,ds,7,0
22,ds,8,0
23,ds,9,0
24,ds,10,0
25,ds,11,0
26,ds,12,0
27,ds,13,0
28,ds,14,0
29,ds,15,0
30,ds,16,0
31,ds,17,0
32,ds,18,0
33,cs,0,0
34,cs,1,0
35,cs,2,0
36,cs,3,0
37,cs,4,0
38,cs,5,0
39,cs,6,0
40,cs,7,0
41,cs,8,0
42,cs,9,0
43,cs,10,0
44,cs,11,0
45,cs,12,0
46,cs,13,0
47,cs,14,0
48,cs,15,0
49,cs,16,0
50,cs,17,0
51,cs,18,0
52,cs,19,0
53,cs,20,0
54,cs,21,0
55,cs,22,0
56,cs,23,0
57,cs,24,0
58,cs,25,0
59,cs,26,0
60,cs,27,0
61,cs,28,0
62,cs,29,0
63,cs,30,0
64,cs,31,0
65,cs,32,0
66,cs,33,0
67,cs,34,0
68,cs,35,0
69,cs,36,0
70,cs,37,0
71,cs,38,0
72,cs,39,0
73,cs,40,0
74,cs,41,0
75,cs,42,0
76,cs,43,0
77,cs,44,0
78,cs,45,0
79,cs,46,0
80,cs,47,0
81,cs,48,0
82,cs,49,0
83,cs,50,0
84,cs,51,0
85,cs,52,0
86,cs,53,0
87,cs,54,0
88,cs,55,0
89,cs,56,0
90,cs,57,0
91,cs,58,0
92,cs,59,0
93,cs,60,0
94,cs,61,0
95,cs,62,0
96,cs,63,0
97,cs,64,0
98,cs,65,0
99,cs,66,0
100,fm,0,0
101,fm,1,0
102,fm,2,0
103,fm,3,0
104,fm,4,0
105,fm,5,0
106,fm,6,0
107,fm,7,0
108,fm,8,0
109,fm,9,0
110,fm,10,0
111,fm,11,0
112,fm,12,0
113,fm,13,0
114,fm,14,0
115,fm,15,0
116,fm,16,0
117,fm,17,0
118,cf,0,0
119,cf,1,0
120,cf,2,0
121,cf,3,0
122,cf,4,0
123,cf,5,0
124,cf,6,0
125,cf,7,0
126,cf,8,0
127,cf,9,0
128,cf,10,0
129,cf,11,0
130,cf,12,0
131,cf,13,0
132,cf,14,0
133,cf,15,0
134,cf,16,0
135,cf,17,0
136,cf,18,0
137,cf,19,0
